,China (CNY)
,RMB
等级,0
等级 1,6
等级 2,12
等级 3,18
等级 4,25
等级 5,30
等级 6,40
等级 7,45
等级 8,50
等级 9,60
等级 10,68
等级 11,73
等级 12,78
等级 13,88
等级 14,93
等级 15,98
等级 16,108
等级 17,113
等级 18,118
等级 19,123
等级 20,128
等级 21,138
等级 22,148
等级 23,153
等级 24,158
等级 25,163
等级 26,168
等级 27,178
等级 28,188
等级 29,193
等级 30,198
等级 31,208
等级 32,218
等级 33,223
等级 34,228
等级 35,233
等级 36,238
等级 37,243
等级 38,248
等级 39,253
等级 40,258
等级 41,263
等级 42,268
等级 43,273
等级 44,278
等级 45,283
等级 46,288
等级 47,298
等级 48,308
等级 49,318
等级 50,328
等级 51,348
等级 52,388
等级 53,418
等级 54,448
等级 55,488
等级 56,518
等级 57,548
等级 58,588
等级 59,618
等级 60,648
等级 61,698
等级 62,798
等级 63,818
等级 64,848
等级 65,898
等级 66,998
等级 67,1048
等级 68,1098
等级 69,1148
等级 70,1198
等级 71,1248
等级 72,1298
等级 73,1398
等级 74,1448
等级 75,1498
等级 76,1598
等级 77,1648
等级 78,1998
等级 79,2298
等级 80,2598
等级 81,2998
等级 82,3298
等级 83,3998
等级 84,4498
等级 85,4998
等级 86,5898
等级 87,6498
澶ǖ燃 A,1
澶ǖ燃 B,3
澶ǖ燃 1,8
澶ǖ燃 2,12
澶ǖ燃 3,18
澶ǖ燃 4,28
澶ǖ燃 5,30
